gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr,isgf3_binding,gene_type,ct
MINOS1,-0.7262257116646503,1.0501981482837586e-06,-0.2943658869788908,0.1598,3.976390686458864e-06,0.5373753222836095,False,upreg,cM
HP1BP3,-0.7916069986522084,8.799724656175862e-06,-0.4305123295427107,0.11402280456091218,1.6004280101770044e-05,0.4626792025071681,False,upreg,cM
CDC42,-0.15652290766401247,0.0027997200279972004,-0.04977712654749863,0.488,0.0037072434888490847,0.8085873327386263,False,upreg,cM
HNRNPR,-0.5494168300843585,4.898135659464078e-06,-0.04755526357816568,0.657,1.0162892126888084e-05,0.8849905604719763,False,upreg,cM
ID3,-1.3381326200334227,1.5972047631062886e-07,0.22735615962877706,0.7859290438965725,1.5111377706901985e-06,0.9367535470986562,False,upreg,cM
RPL11,-0.4427100227484301,8.50658592883298e-06,0.5305204558731936,0.0033996600339966003,1.5564154214477978e-05,0.060275728155339804,False,upreg,cM
FUCA1,-0.7747909248178704,2.7297569835649083e-06,0.10599684660165729,0.8572593800978793,6.781681975495949e-06,0.9574222493887531,False,upreg,cM
SRRM1,-0.6046716649338251,4.054622513602298e-06,0.4047319758417814,0.0846,9.017963684445591e-06,0.40976021220159153,False,upreg,cM
CLIC4,0.938226467671366,1.6491188962328108e-07,0.34271050046314294,0.4050582095543958,1.5442518484723655e-06,0.7756179520741038,False,upreg,cM
SYF2,-0.0715736215909047,0.21737826217378262,-0.0799339359969194,0.328,0.24129647825491005,0.727297572815534,False,upreg,cM
C1orf63,-0.0700818040622275,0.2101789821017898,-0.05275987573496631,0.8372,0.2337313162715397,0.9549439178656538,False,upreg,cM
TMEM50A,0.890688600150209,4.811074832223023e-07,-0.039441103907855685,0.827,2.638144938029802e-06,0.9538840251572327,True,ISGF3,cM
SH3BGRL3,-0.6126130563975181,4.9919565013431876e-05,0.05549579606522319,0.706929307069293,7.898884377341995e-05,0.901420487804878,False,upreg,cM
CD52,-0.007078902495582908,0.9376633822642269,-0.420344600695796,0.22702594007641264,0.9422342694223428,0.6243213352101348,False,upreg,cM
NUDC,-0.3844693693407445,7.396490392350677e-06,0.0107548826691975,0.731,1.3952470512843322e-05,0.9105088676671214,False,upreg,cM
WASF2,-0.10558329103372066,0.20737926207379262,-0.6931023617937542,0.027,0.2308991052114301,0.2197663716814159,False,upreg,cM
FGR,-0.2904280285864897,1.9645704037659555e-06,0.022985002478454926,0.6224,5.6315628842647326e-06,0.8695504208110175,False,upreg,cM
IFI6,2.981936568907593,1.4407311750669442e-09,-2.101444064302889,2.6253912125910643e-07,2.0317156429644257e-07,5.9924554427391046e-05,True,ISGF3,cM
THEMIS2,0.3321798697110106,1.0855306238889518e-05,0.19600230641453745,0.622124424884977,1.915148714223407e-05,0.8695504208110175,False,upreg,cM
PTAFR,-0.09700963456579313,0.3635636436356364,0.08000791132574966,0.6988,0.3921247568096114,0.8990723598775554,False,upreg,cM
DNAJC8,-0.4497956216607837,4.745193790176048e-06,0.3273097814843865,0.0012,9.970913533787644e-06,0.026085714285714285,False,upreg,cM
TAF12,-0.7815214815759689,2.103346609234463e-05,-0.1839723778443636,0.1206,3.450773502661392e-05,0.4726601972755066,False,upreg,cM
YTHDF2,-0.6223024284221375,0.0003653297432547886,-0.19444497271642192,0.6222,0.0005179286577509659,0.8695504208110175,False,upreg,cM
SRSF4,0.2765897531772577,0.0093990600939906,0.20951249402858893,0.4168,0.012012677824815372,0.7789936540429888,False,upreg,cM
LAPTM5,-0.2357275790051988,1.7316726898167066e-06,-0.5095924686010433,0.037196280371962806,5.270057219342177e-06,0.27137391304347824,False,upreg,cM
PEF1,0.09862137156471996,0.36796320367963203,0.31839226641720725,0.5166,0.3964016577693263,0.8274663157894737,False,upreg,cM
PTP4A2,-0.7905711254551113,4.2206723760127655e-06,-0.18604313563194655,0.1256,9.20782288960491e-06,0.48032567849686847,False,upreg,cM
KHDRBS1,0.23456384945385303,2.397191601464804e-06,0.0023839883226222072,0.6894,6.2711631293334275e-06,0.8978918687589158,False,upreg,cM
EIF3I,-0.9462925343431045,1.6987502384208e-06,-0.11024146654144142,0.4482,5.187153738054149e-06,0.7979130268199234,False,upreg,cM
MARCKSL1,-1.382809663751045,4.435056914371057e-07,0.4730736748310265,0.0059994000599940004,2.538687750984812e-06,0.0884521360593427,False,upreg,cM
RNF19B,0.7684237054166192,1.9707219183921998e-07,0.0090088351910466,0.4094,1.6885485141031276e-06,0.7779026014568158,False,upreg,cM
SMIM12,-0.1401356243205532,0.09019098090190981,-0.0997874053980689,0.2384,0.10429938640081528,0.6458729970326409,False,upreg,cM
SFPQ,-0.5032686902630721,5.593881040661008e-06,-0.2730925897653806,0.3194,1.1197461425343916e-05,0.7241000625881383,False,upreg,cM
PSMB2,-0.14734945127468554,0.011998800119988001,-0.15144265192639803,0.6624,0.015164013840830451,0.8863791941391941,False,upreg,cM
