gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr
SOCS3,-0.5058115410802896,1.7382618600192142e-05,-0.6174497540072391,0.0008041135375237917,4.0830625951541766e-05,0.01672973879367681
EIF4A3,-0.35281456789582133,4.277277855152554e-06,1.6449813351088107,0.003184224245169938,1.210635887624451e-05,0.03696469015045102
RNF213,1.5406140089603775,0.0004711445432169856,-0.6141334699284426,0.0068,0.0007805310840058024,0.054197014925373134
ACTG1,-0.6580361912560205,5.833443778500782e-32,0.5060265846573493,0.00301294382149937,2.3961992136303213e-30,0.03607238535838387
P4HB,-0.3419367591567882,0.0404,0.9090882658317602,0.3536,0.049708755760368664,0.6071820128479657
ARHGDIA,0.06268397396546775,0.75,-0.2301303327266257,0.0924,0.772172236503856,0.29138740157480314
ANAPC11,-0.7710396221605812,5.586627259858826e-11,0.8036717640249241,0.3536,3.5235342009030865e-10,0.6071820128479657
SLC16A3,-0.6353079676339782,4.239356641690361e-18,1.191286336948393,0.0030172906604391003,5.390039158720602e-17,0.03607238535838387
CSNK1D,-0.16879214033296477,0.0025746588533711637,0.4308491267794783,0.1508,0.003682681681339825,0.38285515055467506
SMCHD1,1.6273708456284368,1.0252358929393868e-05,-0.7596238615341251,0.5168,2.6111731327327464e-05,0.7242608391608392
EMILIN2,-0.2056026373521861,0.0256,0.3716090278195372,0.5064,0.03221618224666143,0.7191957446808509
MYL12A,1.2384689964055315,5.331130412291512e-07,-0.10242684172081928,0.8324,1.8171214724448942e-06,0.9158686813186814
MYL12B,0.12046122526244839,0.0016276926897478507,0.5111646937141358,0.9,0.0024185262058223278,0.9525405405405406
TGIF1,-0.7596376599952609,2.1112675307684776e-14,-0.12582658124050522,0.864,1.868646731652542e-13,0.933132614555256
NDUFV2,-0.029332967059795437,0.0116,-0.6984806951889901,0.0964,0.015096019496344435,0.30045291828793774
ANKRD12,0.005658662756544025,0.3592,-0.8029433053809586,0.0072,0.39252278308321964,0.056819704433497535
RAB31,0.7862594035369401,1.3860247070463954e-05,0.661769070650632,0.4044,3.374485684936665e-05,0.6484972972972973
VAPA,-0.6312554023907672,5.644898400478352e-10,-0.13725691402410709,0.494,3.0448239857125657e-09,0.7104021543985637
CHMP1B,-0.4831240147691399,5.813155156383041e-07,-0.3418526459889451,0.0184,1.9688529726269835e-06,0.10603165467625898
PSMG2,0.19686076632015803,0.002436730711194022,-0.3521256182857195,0.7036,0.0035010247527648636,0.8494100979653353
PTPN2,0.23234321211382297,0.104,0.08866963983436733,0.4284,0.12241587068332109,0.668200583090379
ROCK1,-0.17728182047632815,0.2664,-0.46902668732004815,0.6032,0.2974026480836237,0.7938975369458129
ABHD3,0.3531589721537355,0.0026536916542030916,-0.00857846251653832,0.2236,0.0037923407939637398,0.4873567346938775
ATP5A1,-0.5355862800944564,3.830305620323698e-09,-0.6739033412681948,0.0056,1.8482378324573987e-08,0.04804585044867075
RPL17,-1.1354593043441825,1.3687039698466929e-18,-0.029206867536755627,0.3276,1.812118809664795e-17,0.5876989921612542
TXNL1,-0.16710148776928394,0.001788725019115803,0.5713931128634636,0.0928,0.0026361890346122507,0.2920738703339882
SERPINB2,-0.9669082588007798,1.206231490964733e-10,-0.2056480151131179,0.354,7.292010749152839e-10,0.6071820128479657
