gene,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_fdr,dv_fdr,distance,ct,distance_bin
CMTM6,0.41607310968901,0.04752883510551202,3.366691216781544e-05,0.5009593633350625,0.3656761092215914,0.1546845315468453,7.604649921450296e-05,0.5157343186843142,594317.0,cM,far
RPL15,-0.7613315111052522,0.019720965215594202,2.065604797349866e-43,0.8112708025397534,0.09769462892244801,3.2058732862675775e-05,2.0733508153399282e-41,0.0014505475603341742,434042.0,cM,far
UBE2E1,0.040508509964156954,0.07664668081314356,0.5999400059994,-0.8300668299111074,0.5227018400572568,0.12568743125687432,0.6347191367819739,0.4610430359678965,485476.0,cM,far
RAB5A,0.24957106119615693,0.06429785276621457,0.0004745441541860998,0.038048520155111565,0.3965730867709412,0.92000799920008,0.0007792616683260494,0.9733417962551572,47421.0,cM,far
DPH3,0.46154449759919575,0.06065475936238814,6.103626188516101e-05,-0.13984960714244588,0.4461967031495173,0.7268273172682732,0.00012864073042988003,0.8973012277316329,39738.0,cM,far
SLC6A6,0.29718608290746584,0.08596897069082055,0.0016853010864145452,-0.01678989079075418,0.48681059643196606,0.9713028697130287,0.0024627784756885893,0.9935747826491236,169722.0,cM,far
LSM3,-0.26218134108318053,0.07545335329917825,0.001152926347302572,-0.8729843391783911,0.4885843183323644,0.10588941105889411,0.001750094247417704,0.4401041192638841,281.0,cM,far
RPL32,-0.16971675216901816,0.01744222692834806,1.6624321948116475e-10,0.4346167092119605,0.09551965759938467,0.0006737692677806827,1.0942074200276663e-09,0.014622614108861844,178.0,cM,far
BRK1,-0.8595158235841542,0.03883209486305266,1.625765176246826e-31,-0.6292062150727474,0.4149335950927,0.290970902909709,7.912057191067887e-30,0.6639268846224622,138361.0,cM,far
EMC3,-0.6447497254918837,0.07330598995765629,9.62987716554122e-09,-0.23230098075107475,0.41026749210819574,0.5514448555144486,5.0706828615931803e-08,0.8110077270661211,984.0,cM,far
CMTM7,0.08413252505561533,0.08426657806395543,0.32266773322667736,0.19833830246873835,0.3814934514107197,0.5986401359864013,0.3581232754402514,0.8349251729939657,646167.0,cM,far
NDUFAF3,-0.24601817986989336,0.06807757657551453,0.0011932052947244756,0.08239488570001938,0.38935444747022385,0.8277172282771723,0.0018044140332650735,0.9376975284927648,547208.0,cM,far
ZC3H15,-0.464365024167331,0.09279762212516632,3.0362967113656582e-05,0.5299544885632885,0.39743104684191627,0.1860813918608139,6.986092433314107e-05,0.5707612095933264,4507394.0,cM,far
NFE2L2,0.2844000621557367,0.04515668486560014,0.0010511593990200313,-0.425988487814969,0.33019932819938014,0.21207879212078792,0.0016154660237571005,0.6061556755936192,10020.0,cM,far
GCC2,0.07979516655131827,0.11872503429689761,0.49625037496250374,0.8208839224511588,0.5310204788912812,0.12688731126887312,0.5352438564068375,0.4610430359678965,2184781.0,cM,far
RNF149,0.20624203083371084,0.0799432813106029,0.009999000099990002,0.06903975008472672,0.3251804279832613,0.8277172282771723,0.01304499931810231,0.9376975284927648,755556.0,cM,far
RPL31,-0.2544020153269022,0.023766751014274463,3.5147226225540486e-13,0.7243830022083896,0.18575493332460197,0.0023208987015914152,3.0845052086457938e-12,0.03584003187265205,1061519.0,cM,far
TXNDC9,-0.272043117603849,0.1044632527283345,0.009499050094990502,-0.7797353538424411,0.5051131088645167,0.128987101289871,0.0124129165602561,0.46761463808472425,772549.0,cM,far
UNC50,-0.2101342886487423,0.08732205691025835,0.016298370162983702,-1.3200982045567033,0.581057026483445,0.051994800519948,0.020890009961493875,0.3224079136487895,47885.0,cM,far
COX5B,-0.018968232119527143,0.042973383363152574,0.6578342165783422,0.2106350045406175,0.4341439825470006,0.6060393960603939,0.6891596554630252,0.8364436752201069,3.0,cM,far
ARID5A,0.49466265191809144,0.07193408442647697,7.704182178929048e-05,-0.5262794677181394,0.33178486514611655,0.13998600139986,0.00015504907994185529,0.4841692174868535,50357.0,cM,far
DUSP2,-0.08658977697578218,0.13543677223990172,0.518048195180482,-1.0627272634669933,0.42688078808774704,0.0287971202879712,0.5568844721953508,0.2267067410905968,12564.0,cM,far
